title,imdbid,production_countries
The Incredibly True Adventure of Two Girls in Love,113416,United States of America
The Baby-Sitters Club,112435,United States of America
Persuasion,114117,France
Persuasion,114117,United Kingdom
Sailor Moon SuperS: The Movie: Black Dream Hole,112513,Japan
Mighty Morphin Power Rangers: The Movie,113820,Japan
Mighty Morphin Power Rangers: The Movie,113820,United States of America
The American President,112346,United States of America
Jumanji,113497,United States of America
Species,114508,United States of America
The Quick and the Dead,114214,Japan
The Quick and the Dead,114214,United States of America
Maborosi,113725,Japan
Home for the Holidays,113321,United States of America
Dracula: Dead and Loving It,112896,France
Dracula: Dead and Loving It,112896,United States of America
The City of Lost Children,112682,Spain
The City of Lost Children,112682,France
The City of Lost Children,112682,Germany
Dilwale Dulhania Le Jayenge,112870,India
Kids,113540,United States of America
Dead Presidents,112819,United States of America
Higher Learning,113305,United States of America
GoldenEye,113189,United Kingdom
GoldenEye,113189,United States of America
Party Girl,114095,United States of America
Nobody Will Speak of Us When We're Dead,113918,Spain
Babe,112431,Australia
Babe,112431,United States of America
The Day of the Beast,112922,Italy
The Day of the Beast,112922,Spain
Village of the Damned,114852,United States of America
Nick of Time,113972,United States of America
The Flower of My Secret,113083,France
The Flower of My Secret,113083,Spain
Tommy Boy,114694,United States of America
Judge Dredd,113492,United States of America
Dead Man Walking,112818,United States of America
Dead Man Walking,112818,United Kingdom
La Cérémonie,112769,France
La Cérémonie,112769,Germany
True Crime,114736,United States of America
Independence Day,116629,United States of America
Scream,117571,United States of America
Freedomfighters,113649,Belgium
Freedomfighters,113649,Italy
Freedomfighters,113649,Spain
Harriet the Spy,116493,United States of America
Fire,116308,Canada
Fire,116308,India
The First Wives Club,116313,United States of America
I Shot Andy Warhol,116594,United Kingdom
I Shot Andy Warhol,116594,United States of America
Girls Town,116418,United States of America
Foxfire,116353,United States of America
Freeway,116361,United States of America
The Long Kiss Goodnight,116908,United States of America
Love and Other Catastrophes,116931,Australia
Secrets & Lies,117589,United Kingdom
Secrets & Lies,117589,France
The Craft,115963,United States of America
Fly Away Home,116329,United States of America
101 Dalmatians,115433,United Kingdom
101 Dalmatians,115433,United States of America
Twister,117998,United States of America
Female Perversions,116293,Germany
Female Perversions,116293,United States of America
Striptease,117765,United States of America
The Associate,115580,United States of America
Beyond Silence,116692,Germany
Set It Off,117603,United States of America
Grace of My Heart,116442,United States of America
Emma,116191,United States of America
The English Patient,116209,United Kingdom
The English Patient,116209,United States of America
The Spitfire Grill,117718,United States of America
The Mirror Has Two Faces,117057,United States of America
That Thing You Do!,117887,United States of America
Brassed Off,115744,United Kingdom
Brassed Off,115744,United States of America
Walking and Talking,118113,Germany
Walking and Talking,118113,United Kingdom
Walking and Talking,118113,United States of America
Beautiful Girls,115639,United States of America
When the Cat's Away,115856,France
August,115591,United Kingdom
August,115591,United States of America
Star Trek: First Contact,117731,United States of America
The Frighteners,116365,New Zealand
The Frighteners,116365,United States of America
Kids Return,116767,Japan
Big Night,115678,United States of America
James and the Giant Peach,116683,United States of America
Romeo + Juliet,117509,Australia
Romeo + Juliet,117509,United States of America
Fear,116287,United States of America
Sabrina the Teenage Witch,117534,United States of America
Mars Attacks!,116996,United States of America
Mr. Wrong,117102,United States of America
Irma Vep,116650,France
Eye for an Eye,116260,United States of America
The Truth About Cats & Dogs,117979,United States of America
Poison Ivy 2: Lily,114151,United States of America
Manny & Lo,116985,United States of America
The Preacher's Wife,117372,United States of America
Crash,115964,Canada
Crash,115964,United Kingdom
Beautiful Thing,115640,United Kingdom
The Daytrippers,116041,Canada
The Daytrippers,116041,United States of America
Waiting for Guffman,118111,United States of America
Stealing Beauty,117737,France
Stealing Beauty,117737,Italy
Stealing Beauty,117737,United Kingdom
Tenchi Muyo! In Love,117876,Japan
Entertaining Angels: The Dorothy Day Story,116212,United States of America
Michael,117038,United States of America
Curdled,115994,United States of America
La Belle Verte,115650,France
Eraser,116213,Canada
Eraser,116213,United States of America
Twelfth Night,117991,United Kingdom
Twelfth Night,117991,Ireland
Twelfth Night,117991,United States of America
The Funeral,116378,United States of America
Family Resemblances,118015,France
Evita,116250,United States of America
Evita,116250,Hungary
The Crucible,115988,United States of America
Marvin's Room,116999,United States of America
2 Days in the Valley,115438,United States of America
Tin Cup,117918,United States of America
The Watermelon Woman,118125,United States of America
Mother,117091,United States of America
The Phantom,117331,Australia
The Phantom,117331,United States of America
Wilde,120514,Germany
Wilde,120514,Japan
Wilde,120514,United Kingdom
Dante's Peak,118928,United States of America
G.I. Jane,119173,United States of America
Event Horizon,119081,United Kingdom
Event Horizon,119081,United States of America
Hercules,119282,United States of America
Romy and Michele's High School Reunion,120032,United States of America
Cube,123755,Canada
Contact,118884,United States of America
As Good as It Gets,119822,United States of America
Grosse Pointe Blank,119229,United States of America
For Richer or Poorer,119142,United States of America
The Winter Guest,120521,United Kingdom
The Winter Guest,120521,United States of America
Funny Games,119167,Austria
Anastasia,118617,United States of America
Cinderella,128996,United States of America
Spice World,120185,United Kingdom
The Castle,118826,Australia
Clockwatchers,118866,United Kingdom
Clockwatchers,118866,United States of America
Cats Don't Dance,118829,United States of America
Eve's Bayou,119080,United States of America
Jackie Brown,119396,United States of America
Boogie Nights,118749,United States of America
Volcano,120461,United States of America
Chasing Amy,118842,United States of America
Paradise Road,119859,Australia
Paradise Road,119859,United States of America
Vegas Vacation,120434,United States of America
Selena,120094,United States of America
A Simple Wish,120133,United States of America
Turbo: A Power Rangers Movie,120389,United States of America
Turbo: A Power Rangers Movie,120389,Japan
Spawn,120177,United States of America
Snow White: A Tale of Terror,119227,United States of America
Mortal Kombat: Annihilation,119707,United States of America
Smilla's Sense of Snow,120152,Germany
Smilla's Sense of Snow,120152,Denmark
Smilla's Sense of Snow,120152,Sweden
My Life in Pink,119590,Belgium
My Life in Pink,119590,France
Fever Pitch,119114,United Kingdom
George of the Jungle,119190,United States of America
The Mirror,117056,Iran
The Mirror,117056,Iran
The Peacemaker,119874,United States of America
Mrs. Dalloway,119723,Netherlands
Mrs. Dalloway,119723,United Kingdom
Mrs. Dalloway,119723,United States of America
Scream 2,120082,United States of America
I Know What You Did Last Summer,119345,United States of America
I Think I Do,125209,United States of America
The Lost World: Jurassic Park,119567,United States of America
Neon Genesis Evangelion: The End of Evangelion,169858,Japan
Picture Perfect,119896,United States of America
Soul Food,120169,United States of America
The Night Flier,119784,Italy
The Night Flier,119784,United States of America
The House of Yes,119324,
The Sticky Fingers of Time,127302,
Gummo,119237,United States of America
Lolita,119558,France
Lolita,119558,United States of America
Mrs Brown,119280,Ireland
Mrs Brown,119280,United Kingdom
Mrs Brown,119280,United States of America
Home Alone 3,119303,United States of America
Mulan,120762,United States of America
Rushmore,128445,United States of America
The Faculty,133751,United States of America
The Wedding Singer,120888,United States of America
Little Voice,147004,United Kingdom
Gia,123865,United States of America
You've Got Mail,128853,United States of America
High Art,139362,United States of America
Phantoms,119891,United States of America
Hideous Kinky,136244,France
Hideous Kinky,136244,United Kingdom
The Red Violin,120802,Canada
The Red Violin,120802,Italy
The Red Violin,120802,United Kingdom
Happiness,147612,United States of America
Show Me Love,150662,Denmark
Show Me Love,150662,Sweden
Star Trek: Insurrection,120844,United States of America
The Dreamlife of Angels,120449,France
Practical Magic,120791,United States of America
Pleasantville,120789,United States of America
The Parent Trap,120783,United States of America
Stepmom,120686,United States of America
The Prince of Egypt,120794,United States of America
Your Friends & Neighbors,119517,United States of America
Shakespeare in Love,138097,United Kingdom
Shakespeare in Love,138097,United States of America
Quest for Camelot,120800,United States of America
Perfect Blue,156887,Japan
The X Files,120902,Canada
The X Files,120902,United States of America
Love & Pop,168972,Japan
Elizabeth,127536,United States of America
Run Lola Run,130827,Germany
A Bug's Life,120623,United States of America
Godzilla,120685,United States of America
Primary Colors,119942,France
Primary Colors,119942,Germany
Primary Colors,119942,Japan
Primary Colors,119942,United Kingdom
Primary Colors,119942,United States of America
The Idiots,154421,Denmark
The Idiots,154421,France
The Idiots,154421,Germany
The Idiots,154421,Italy
The Idiots,154421,Netherlands
The Idiots,154421,Spain
The Idiots,154421,Sweden
Dancing at Lughnasa,120643,Ireland
Dancing at Lughnasa,120643,United Kingdom
Slums of Beverly Hills,120831,United States of America
The Celebration,154420,Denmark
The Celebration,154420,Sweden
Scooby-Doo on Zombie Island,166792,United States of America
Smoke Signals,120321,Canada
Smoke Signals,120321,United States of America
The Lion King II: Simba's Pride,120131,Australia
The Lion King II: Simba's Pride,120131,United States of America
Sliding Doors,120148,United Kingdom
Sliding Doors,120148,United States of America
The Last Days of Disco,120728,United States of America
Beloved,120603,United States of America
Species II,120841,United States of America
Central Station,140888,Brazil
The Glass-Blower's Children,119204,Denmark
The Glass-Blower's Children,119204,Norway
The Glass-Blower's Children,119204,Sweden
Hope Floats,119313,United States of America
Urban Legend,146336,Canada
Urban Legend,146336,France
Urban Legend,146336,United States of America
Ringu,178868,Japan
Halloween H20: 20 Years Later,120694,United States of America
Wild Things,120890,United States of America
"Black Cat, White Cat",118843,Austria
"Black Cat, White Cat",118843,France
"Black Cat, White Cat",118843,Germany
"Black Cat, White Cat",118843,Greece
"Black Cat, White Cat",118843,Yugoslavia
The Avengers,118661,United States of America
Whispering Corridors,241073,South Korea
Lost in Space,120738,United States of America
There's Something About Mary,129387,United States of America
The Eternal,158011,United States of America
City of Angels,120632,Germany
City of Angels,120632,United States of America
Patch Adams,129290,United States of America
The Rugrats Movie,134067,United States of America
I Still Know What You Did Last Summer,130018,United States of America
Kuch Kuch Hota Hai,172684,India
Pecker,126604,United States of America
Lick the Star,197626,United States of America
Celebrity,120533,United States of America
My Name Is Joe,151691,France
My Name Is Joe,151691,Germany
My Name Is Joe,151691,Spain
My Name Is Joe,151691,United Kingdom
Madeline,123987,France
Madeline,123987,United States of America
A Perfect Murder,120787,United States of America
Antz,120587,United States of America
Halloweentown,173886,United States of America
Dangerous Beauty,118892,United States of America
Pocahontas II: Journey to a New World,143808,United States of America
Next Stop Wonderland,119778,United States of America
The Matrix,133093,United States of America
Star Wars: Episode I - The Phantom Menace,120915,United States of America
The Sixth Sense,167404,United States of America
Dogma,120655,United States of America
Eyes Wide Shut,120663,United Kingdom
Eyes Wide Shut,120663,United States of America
The Other Sister,123209,United States of America
Go,139239,United States of America
Election,126886,United States of America
Being John Malkovich,120601,United States of America
Anna and the King,166485,United States of America
Why Not Me?,162556,France
Better Than Chocolate,168987,Canada
Drop Dead Gorgeous,157503,United States of America
Not One Less,209189,China
Anywhere but Here,149691,United States of America
Memento Mori,266075,South Korea
"South Park: Bigger, Longer & Uncut",158983,United States of America
Magnolia,175880,United States of America
Titus,120866,United Kingdom
Titus,120866,Italy
Titus,120866,United States of America
Cruel Intentions,139134,United States of America
6ixtynin9,235154,Thailand
Black and White,165643,United States of America
New Waterford Girl,213121,Canada
Holy Smoke,144715,Australia
Holy Smoke,144715,United States of America
Things You Can Tell Just by Looking at Her,210358,United States of America
Virus,120458,United States of America
Virus,120458,United Kingdom
Virus,120458,Germany
Virus,120458,Japan
Virus,120458,France
The Blair Witch Project,185937,United States of America
Never Been Kissed,151738,United States of America
Notting Hill,125439,United Kingdom
Notting Hill,125439,United States of America
The Rage: Carrie 2,144814,United States of America
The Cider House Rules,124315,United States of America
Splendor,127296,United Kingdom
Splendor,127296,United States of America
Revolutionary Girl Utena: The Adolescence of Utena,243558,Japan
The Talented Mr. Ripley,134119,United States of America
Topsy-Turvy,151568,United Kingdom
Topsy-Turvy,151568,United States of America
Ringu 2,218553,Japan
The 4th Floor,167752,
Muppets from Space,158811,United States of America
The Haunting,171363,United States of America
Teaching Mrs. Tingle,133046,United States of America
Dick,144168,Canada
Dick,144168,France
Dick,144168,United States of America
Annie,207972,United States of America
Blast from the Past,124298,United States of America
She's All That,160862,United States of America
The Straight Story,166896,United States of America
Brokedown Palace,120620,United States of America
The Virgin Suicides,159097,United States of America
Mansfield Park,178737,United Kingdom
A Walk on the Moon,120613,United States of America
Trick,162710,United States of America
Beau Travail,209933,France
Bowfinger,131325,United States of America
Tea with Mussolini,120857,United Kingdom
Tea with Mussolini,120857,Italy
Human Traffic,188674,United Kingdom
Human Traffic,188674,Ireland
Terror Firmer,169299,United States of America
Introducing Dorothy Dandridge,172348,United States of America
200 Cigarettes,137338,United States of America
Aimee & Jaguar,130444,Germany
The Nameless,222368,Spain
Bicentennial Man,182789,Germany
Bicentennial Man,182789,United States of America
Screwed in Tallinn,311926,Estonia
Screwed in Tallinn,311926,Sweden
Deuce Bigalow: Male Gigolo,205000,United States of America
East Is East,166175,United Kingdom
Stigmata,145531,United States of America
Lake Placid,139414,United States of America
Smart House,192618,United States of America
Double Jeopardy,150377,Canada
Double Jeopardy,150377,United States of America
Music of the Heart,166943,United States of America
American Psycho,144084,Canada
American Psycho,144084,United States of America
Dancing at the Blue Iguana,217355,United States of America
Erin Brockovich,195685,United States of America
Ginger Snaps,210070,Canada
Miss Congeniality,212346,United States of America
Chicken Run,120630,United Kingdom
Chicken Run,120630,United States of America
Chicken Run,120630,France
Bring It On,204946,United States of America
Chocolat,241303,United Kingdom
Chocolat,241303,United States of America
"Crouching Tiger, Hidden Dragon",190332,China
"Crouching Tiger, Hidden Dragon",190332,Hong Kong
"Crouching Tiger, Hidden Dragon",190332,Taiwan
"Crouching Tiger, Hidden Dragon",190332,United States of America
Daria in 'Is It Fall Yet?',250440,United States of America
Almost Famous,181875,United States of America
Where the Heart Is,198021,United States of America
Best in Show,218839,United States of America
28 Days,191754,United States of America
Titan A.E.,120913,United States of America
What Lies Beneath,161081,United States of America
Return to Me,122459,United States of America
Remember the Titans,210945,United States of America
Girlfight,210075,United States of America
Center Stage,210616,United States of America
Battle Royale,266308,Japan
Charlie's Angels,160127,United States of America
Coyote Ugly,200550,United States of America
If These Walls Could Talk 2,206036,United States of America
Dancer in the Dark,168629,Argentina
Dancer in the Dark,168629,Denmark
Dancer in the Dark,168629,Finland
Dancer in the Dark,168629,France
Dancer in the Dark,168629,Germany
Dancer in the Dark,168629,Iceland
Dancer in the Dark,168629,Italy
Dancer in the Dark,168629,Netherlands
Dancer in the Dark,168629,Norway
Dancer in the Dark,168629,Sweden
Dancer in the Dark,168629,United Kingdom
Dancer in the Dark,168629,United States of America
Songcatcher,210299,United States of America
Greenfingers,203540,United Kingdom
Greenfingers,203540,United States of America
Requiem for a Dream,180093,United States of America
Beautiful Creatures,221889,United Kingdom
The Circle,255094,Iran
The Circle,255094,Italy
The Circle,255094,Switzerland
Kevin & Perry Go Large,205177,United Kingdom
Mr. Accident,156807,Australia
The Man Who Cried,206917,France
The Man Who Cried,206917,United Kingdom
Joseph: King of Dreams,264734,United States of America
Love & Basketball,199725,United States of America
Together,203166,Denmark
Together,203166,Italy
Together,203166,Norway
Together,203166,Sweden
The Patriot,187393,Germany
The Patriot,187393,United States of America
Billy Elliot,249462,France
Billy Elliot,249462,United Kingdom
Batman Beyond: Return of the Joker,233298,United States of America
Saving Grace,195234,France
Saving Grace,195234,United Kingdom
In the Mood for Love,118694,Hong Kong
Common Wealth,255067,Spain
The Gift,219699,United States of America
Sordid Lives,204640,United States of America
Life-Size,200809,United States of America
Cecil B. Demented,173716,France
Cecil B. Demented,173716,United States of America
The Little Mermaid II: Return to the Sea,240684,Australia
The Little Mermaid II: Return to the Sea,240684,Canada
The Little Mermaid II: Return to the Sea,240684,United States of America
Baise-moi,249380,France
The Dish,205873,Australia
The Gleaners and I,247380,France
Scream 3,134084,United States of America
Rugrats in Paris: The Movie,213203,Germany
Rugrats in Paris: The Movie,213203,United States of America
Cherry Falls,175526,United States of America
Ringu 0,235712,Japan
Italian for Beginners,243862,Denmark
Italian for Beginners,243862,Sweden
Malena,213847,Italy
The 6th Day,216216,United States of America
The Day I Became a Woman,260332,Iran
Scary Movie,175142,United States of America
Spiral,244870,Japan
102 Dalmatians,211181,United States of America
Ju-on: The Curse,330500,Japan
Hanging Up,162983,Germany
Hanging Up,162983,United States of America
Supernova,134983,Switzerland
Supernova,134983,United States of America
Dinner Rush,229340,United States of America
Pay It Forward,223897,United States of America
Dinosaur,130623,United States of America
How the Grinch Stole Christmas,170016,Germany
How the Grinch Stole Christmas,170016,United States of America
Traffic,181865,Germany
Traffic,181865,United States of America
The Family Man,218967,United States of America
Alley Cats Strike,217990,
Beautiful,210567,United States of America
The Replacements,191397,United States of America
Yi Yi,244316,Taiwan
Yi Yi,244316,Japan
Monsoon Wedding,265343,France
Monsoon Wedding,265343,Germany
Monsoon Wedding,265343,India
Monsoon Wedding,265343,Italy
Monsoon Wedding,265343,United States of America
Mulholland Drive,166924,France
Mulholland Drive,166924,United States of America
Kissing Jessica Stein,264761,United States of America
Legally Blonde,250494,United States of America
Wit,243664,United States of America
The Others,230600,Spain
The Others,230600,United States of America
The Others,230600,France
The Others,230600,Italy
Spirited Away,245429,Japan
Donnie Darko,246578,United States of America
Waking Life,243017,United States of America
Amélie,211915,France
Amélie,211915,Germany
In the Time of the Butterflies,263467,Mexico
In the Time of the Butterflies,263467,United States of America
The Piano Teacher,254686,Austria
The Piano Teacher,254686,France
The Piano Teacher,254686,Germany
The Wedding Planner,209475,United States of America
Gosford Park,280707,Italy
Gosford Park,280707,United States of America
Mostly Martha,246772,Austria
Mostly Martha,246772,Switzerland
Mostly Martha,246772,Germany
Mostly Martha,246772,Italy
Human Nature,219822,United States of America
Zoolander,196229,Germany
Zoolander,196229,United States of America
Moulin Rouge!,203009,Australia
Moulin Rouge!,203009,United States of America
Harry Potter and the Philosopher's Stone,241527,United Kingdom
Harry Potter and the Philosopher's Stone,241527,United States of America
Take Care of My Cat,296658,South Korea
Spy Kids,227538,United States of America
Manic,252684,United States of America
The Legend of Suriyothai,290879,Thailand
Hedwig and the Angry Inch,248845,Canada
Hedwig and the Angry Inch,248845,United States of America
Someone Like You...,244970,United States of America
Wet Hot American Summer,243655,United States of America
He Died with a Felafel in His Hand,172543,Australia
Fat Girl,243255,France
Fat Girl,243255,Italy
Me Without You,263725,United Kingdom
Jeepers Creepers,263488,Germany
Jeepers Creepers,263488,United States of America
Dr. Dolittle 2,240462,United States of America
Suicide Club,312843,Japan
Monkeybone,166276,United States of America
Nowhere in Africa,161860,Germany
Shallow Hal,256380,United States of America
Hannibal,212985,United Kingdom
Hannibal,212985,United States of America
Lucky Girl,279204,Canada
Read My Lips,274117,France
Dog Days,290661,Austria
Miss Minoes,279231,Netherlands
Cowboy Bebop: The Movie,275277,Japan
Cowboy Bebop: The Movie,275277,United States of America
Gypsy 83,251110,United States of America
Princess Arete,306474,Japan
From Hell,120681,Czech Republic
From Hell,120681,United States of America
From Hell,120681,United Kingdom
Save the Last Dance,206275,United States of America
His Secret Life,274497,Italy
Bridget Jones's Diary,243155,United Kingdom
The Glass House,221218,United States of America
Osmosis Jones,181739,United States of America
The Witcher,300657,Poland
I Am Sam,277027,United States of America
Riding in Cars with Boys,200027,United States of America
Heartbreakers,125022,United States of America
"Belphegor, Phantom of the Louvre",214529,France
Heist,252503,United States of America
Rat Race,250687,Canada
Rat Race,250687,United States of America
Serendipity,240890,United States of America
American Pie 2,252866,United States of America
Chaos,265116,France
Volcano High,301429,South Korea
Kabhi Khushi Kabhie Gham,248126,India
Charlotte Gray,245046,Australia
Charlotte Gray,245046,Germany
Charlotte Gray,245046,United Kingdom
Planet of the Apes,133152,United States of America
Scary Movie 2,257106,Canada
Scary Movie 2,257106,United States of America
Stranded,283015,Spain
Glitter,118589,United States of America
The Mummy Returns,209163,United States of America
Not Another Teen Movie,277371,United States of America
"Yes, But...",246278,France
Pulse,286751,Japan
Recess: School's Out,265632,United States of America
The Curse of the Jade Scorpion,256524,Germany
The Curse of the Jade Scorpion,256524,United States of America
Dagon,264508,Spain
Jump Tomorrow,273300,United Kingdom
Jump Tomorrow,273300,United States of America
Rush Hour 2,266915,United States of America
Tremors 3: Back to Perfection,259685,United States of America
In the Bedroom,247425,United States of America
Sugar & Spice,186589,United States of America
La Ciénaga,240419,Argentina
La Ciénaga,240419,Japan
La Ciénaga,240419,France
La Ciénaga,240419,Spain
Jimmy Neutron: Boy Genius,268397,United States of America
Barbie in the Nutcracker,288441,Canada
The Land Before Time VIII: The Big Freeze,301526,United States of America
La Tour Montparnasse Infernale,259060,France
Zenon: The Zequel,271271,New Zealand
Zenon: The Zequel,271271,United States of America
Blue Crush,300532,Germany
Blue Crush,300532,United States of America
Whale Rider,298228,Germany
Whale Rider,298228,New Zealand
28 Days Later,289043,United Kingdom
Star Wars: Episode II - Attack of the Clones,121765,United States of America
Lilo & Stitch,275847,United States of America
Hero,299977,China
Suddenly,324158,Argentina
Suddenly,324158,Netherlands
The Ring,298130,Japan
The Ring,298130,United States of America
Daria in 'Is It College Yet?',285627,United States of America
My Big Fat Greek Wedding,259446,Canada
My Big Fat Greek Wedding,259446,United States of America
Divine Secrets of the Ya-Ya Sisterhood,279778,United States of America
The Importance of Being Earnest,278500,France
The Importance of Being Earnest,278500,United Kingdom
The Importance of Being Earnest,278500,United States of America
Tuck Everlasting,283084,United States of America
The Powerpuff Girls Movie,289408,United Kingdom
The Powerpuff Girls Movie,289408,United States of America
May,303361,United States of America
Secretary,274812,United States of America
The Rules of Attraction,292644,Germany
The Rules of Attraction,292644,United States of America
The Cat Returns,347618,Japan
Ten,301978,Iran
White Oleander,283139,Germany
White Oleander,283139,United States of America
Tipping the Velvet,324264,United Kingdom
Spy Kids 2: The Island of Lost Dreams,287717,United States of America
Adaptation.,268126,United States of America
Treasure Planet,133240,United States of America
Real Women Have Curves,296166,United States of America
The Good Girl,279113,Netherlands
The Good Girl,279113,Germany
The Good Girl,279113,United States of America
Two Weeks Notice,313737,Australia
Two Weeks Notice,313737,United States of America
Far from Heaven,297884,United States of America
Harry Potter and the Chamber of Secrets,295297,United Kingdom
Harry Potter and the Chamber of Secrets,295297,United States of America
The Magdalene Sisters,318411,Ireland
The Magdalene Sisters,318411,United Kingdom
The Twilight Samurai,351817,Japan
Marion Bridge,329355,Canada
Cabin Fever,303816,United States of America
Panic Room,258000,United States of America
Wilbur Wants to Kill Himself,329767,Denmark
Wilbur Wants to Kill Himself,329767,France
Wilbur Wants to Kill Himself,329767,United Kingdom
Wilbur Wants to Kill Himself,329767,Sweden
Home Room,264689,United States of America
Spun,283003,United States of America
Amandla! A Revolution in Four-Part Harmony,303297,
The Banger Sisters,280460,United States of America
All or Nothing,286261,France
All or Nothing,286261,United Kingdom
WiseGirls,284655,Canada
WiseGirls,284655,United Kingdom
WiseGirls,284655,United States of America
Scooby-Doo,267913,United States of America
Waking Up in Reno,219400,United States of America
Sympathy for Mr. Vengeance,310775,South Korea
Carrie,319970,Canada
Carrie,319970,United States of America
The Sweetest Thing,253867,United States of America
Funny Ha Ha,327753,United States of America
Maid in Manhattan,252076,United States of America
Cube 2: Hypercube,285492,Canada
Queen of the Damned,238546,Australia
Queen of the Damned,238546,United States of America
Lilya 4-ever,300140,Denmark
Lilya 4-ever,300140,Sweden
Crossroads,275022,United States of America
Dark Water,308379,Japan
We Were Soldiers,277434,Germany
We Were Soldiers,277434,United States of America
Demonlover,284034,France
Demonlover,284034,Japan
Demonlover,284034,Mexico
The Hot Chick,302640,United States of America
A Walk to Remember,281358,United States of America
Undercover Brother,279493,United States of America
They,283632,United States of America
Teknolust,270688,United Kingdom
Teknolust,270688,Germany
Teknolust,270688,United States of America
Moonlight Mile,179098,United States of America
Ju-on: The Grudge,364385,Japan
Dirty Pretty Things,301199,United Kingdom
Devdas,238936,India
Life or Something Like It,282687,Canada
Life or Something Like It,282687,United States of America
The Wild Thornberrys Movie,282120,United States of America
Asterix & Obelix: Mission Cleopatra,250223,France
Asterix & Obelix: Mission Cleopatra,250223,Germany
Cadet Kelly,294425,Canada
Cadet Kelly,294425,United States of America
Big Girls Don't Cry,291213,Germany
Summer Things,290916,France
Unfaithful,250797,United States of America
Sweet Home Alabama,256415,United States of America
He Loves Me… He Loves Me Not,291579,France
My Mother Likes Women,306432,Spain
Talk to Her,287467,Spain
Femme Fatale,280665,Switzerland
Femme Fatale,280665,France
Morvern Callar,300214,Canada
Morvern Callar,300214,United Kingdom
Cheats,250292,Canada
Slap Her... She's French,187512,Germany
Slap Her... She's French,187512,United States of America
Slap Her... She's French,187512,United Kingdom
Ghost Ship,288477,Australia
Ghost Ship,288477,United States of America
A Ring of Endless Light,282123,United States of America
Get a Clue,282521,
Tru Confessions,296251,
Dummy,246592,United States of America
Big Fat Liar,265298,United States of America
Hysterical Blindness,290664,United States of America
S.W.A.T.,257076,United States of America
Underworld,320691,Germany
Underworld,320691,Hungary
Underworld,320691,United Kingdom
Underworld,320691,United States of America
The Matrix Revolutions,242653,United States of America
Lara Croft: Tomb Raider - The Cradle of Life,325703,Germany
Lara Croft: Tomb Raider - The Cradle of Life,325703,Japan
Lara Croft: Tomb Raider - The Cradle of Life,325703,United Kingdom
Lara Croft: Tomb Raider - The Cradle of Life,325703,United States of America
Kill Bill: Vol. 1,266697,United States of America
Pirates of the Caribbean: The Curse of the Black Pearl,325980,United States of America
Uptown Girls,263757,United States of America
Love Actually,314331,United Kingdom
Love Actually,314331,United States of America
The Room,368226,United States of America
Under the Tuscan Sun,328589,Italy
Under the Tuscan Sun,328589,United States of America
The Triplets of Belleville,286244,Belgium
The Triplets of Belleville,286244,Canada
The Triplets of Belleville,286244,France
The Triplets of Belleville,286244,Latvia
The Triplets of Belleville,286244,United Kingdom
Swimming Pool,324133,France
Swimming Pool,324133,United Kingdom
Lost in Translation,335266,Japan
Lost in Translation,335266,United Kingdom
Lost in Translation,335266,United States of America
How to Lose a Guy in 10 Days,251127,United States of America
Girls Will Be Girls,339071,United States of America
View from the Top,264150,United States of America
Freaky Friday,322330,United States of America
I Capture the Castle,300015,United Kingdom
Cold Mountain,159365,United States of America
Cold Mountain,159365,United Kingdom
Cold Mountain,159365,Romania
Cold Mountain,159365,Italy
Mona Lisa Smile,304415,United States of America
Down with Love,309530,Germany
Down with Love,309530,United States of America
The Missing,338188,United States of America
The Best of Youth,346336,Italy
"Legally Blonde 2: Red, White & Blonde",333780,United States of America
Spy Kids 3-D: Game Over,338459,United States of America
Le Divorce,306734,France
Le Divorce,306734,United States of America
Good Bye Lenin!,301357,Germany
In the Cut,199626,Australia
In the Cut,199626,United Kingdom
In the Cut,199626,United States of America
A Tale of Two Sisters,365376,South Korea
Thirteen,328538,United States of America
Undead,339840,Australia
The Barbarian Invasions,338135,Canada
The Barbarian Invasions,338135,France
Something's Gotta Give,337741,United States of America
Prey for Rock & Roll,307351,United States of America
Dogville,276919,Denmark
Dogville,276919,France
Dogville,276919,Netherlands
Dogville,276919,United Kingdom
Dogville,276919,Sweden
Dogville,276919,Germany
House of Sand and Fog,315983,United States of America
2LDK,362387,Japan
Final Destination 2,309593,United States of America
Casa de los Babys,303830,Mexico
Casa de los Babys,303830,United States of America
Girl with a Pearl Earring,335119,Belgium
Girl with a Pearl Earring,335119,United States of America
Girl with a Pearl Earring,335119,France
Girl with a Pearl Earring,335119,Luxembourg
Girl with a Pearl Earring,335119,United Kingdom
Peter Pan,316396,United Kingdom
Peter Pan,316396,United States of America
Scary Godmother: Halloween Spooktakular,330859,United States of America
Charlie's Angels: Full Throttle,305357,United States of America
School of Rock,332379,United States of America
Jeepers Creepers 2,301470,United States of America
Terminator 3: Rise of the Machines,181852,Germany
Terminator 3: Rise of the Machines,181852,United Kingdom
Terminator 3: Rise of the Machines,181852,United States of America
Wrong Turn,295700,Germany
Wrong Turn,295700,United States of America
Daddy Day Care,317303,United States of America
Mystic River,327056,United States of America
After You,344604,France
Bon Voyage,310778,France
Coffee and Cigarettes,379217,United States of America
The Mother,323298,
Camp,342167,United States of America
The Forest for the Trees,386862,Germany
21 Grams,315733,United States of America
Elephant,363589,United States of America
"Turn Left, Turn Right",367174,Hong Kong
